set1,,,,,set2,,,,set3,,
I_2_100_15_200,,,,,I_3_75_2_50,,,,I_5_100_15_200,,
,,,,,,,,,,,
pso,hybridé,Gbest,,,pso,hybridé,Gbest,,pso,hybridé,Gbest
,,,,,,,,,,,
 -548.590160,  127.765796,  127.765796 ,,, -177.260057,  -73.612886,  -53.262817 ,, 12.919087,  96.306191,  96.306191 
 -471.403122,  90.067593,  127.765796 ,,, -52.394916,  -46.848304,  -46.848304 ,, 19.366475,  112.685381,  112.685381 
 -542.192228,  47.263082,  127.765796 ,,, -67.505946,  -33.699787,  -33.699787 ,, -12.291446,  166.240867,  166.240867 
 -445.565163,  118.577413,  127.765796 ,,, -153.181754,  -53.483787,  -33.699787 ,, 119.081076,  142.892189,  166.240867 
 -526.402147,  65.113020,  127.765796 ,,, -102.109624,  -33.699787,  -33.699787 ,, -2.807512,  160.711584,  166.240867 
 -489.369759,  123.881257,  127.765796 ,,, -136.001410,  -46.848304,  -33.699787 ,, 20.839941,  167.222935,  167.222935 
 -445.099062,  -323.031043,  127.765796 ,,, -33.699787,  -33.699787,  -33.699787 ,, 144.744252,  152.762590,  167.222935 
 -371.206959,  104.100492,  127.765796 ,,, -54.357428,  -33.699787,  -33.699787 ,, 30.366343,  173.003297,  173.003297 
 -579.094843,  98.023137,  127.765796 ,,, -91.592393,  -46.848304,  -33.699787 ,, -18.673553,  35.197876,  173.003297 
 -240.087186,  198.282391,  198.282391 ,,, -164.350200,  -46.848304,  -33.699787 ,, 73.326876,  134.158713,  173.003297 
 -390.217422,  54.533033,  198.282391 ,,, -136.001410,  -46.848304,  -33.699787 ,, -34.916818,  92.346258,  173.003297 
 -492.614744,  103.068491,  198.282391 ,,, -188.687929,  -43.049453,  -33.699787 ,, 21.414756,  75.230503,  173.003297 
 -409.854071,  157.830511,  198.282391 ,,, -136.001410,  -46.848304,  -33.699787 ,, -92.291524,  90.837715,  173.003297 
 -504.399477,  142.088606,  198.282391 ,,, -123.958486,  -72.418943,  -33.699787 ,, 76.272629,  76.272629,  173.003297 
 -395.062160,  130.637528,  198.282391 ,,, -188.832985,  -53.483787,  -33.699787 ,, 12.021070,  67.088472,  173.003297 
